"_id";"category_id";"pinyin";"english";"voice";"favorite";"status";"vietnamese";"vnRaw"
1;1;"";"Hello";"greeting_1";1;1;"Xin chào";"xin chao"
2;1;"";"How are you?";"greeting_2";0;1;"Bạn có khỏe không";"ban co khoe khong"
3;1;"";"I'm fine, thanks";"greeting_3";0;1;"Cảm ơn, tôi khỏe";"cam on, toi khoe"
4;1;"";"I'm not well, thanks";"greeting_4";0;1;"Cảm ơn, tôi không khỏe";"cam on, toi khong khoe"
5;1;"";"How about you?";"greeting_10";0;1;"Thế còn bạn?";"the con ban?"
6;1;"";"What's your name?";"greeting_5";0;1;"Tên bạn là gì";"ten ban la gi"
7;1;"";"My name is ...";"greeting_6";0;1;"Tên tôi là …";"ten toi la …"
8;1;"";"Nice to meet you";"greeting_9";0;1;"Rất vui được gặp bạn";"rat vui duoc gap ban"
9;1;"";"Goodbye";"greeting_8";0;1;"Tạm biệt";"tam biet"
10;1;"";"See you later";"greeting_7";0;1;"Hẹn gặp lại";"hen gap lai"
11;1;"";"Good luck";"greeting_11";0;1;"Chúc may mắn";"chuc may man"
12;1;"";"Take care";"greeting_12";0;1;"Bảo trọng";"bao trong"
13;1;"";"It's been a while";"greeting_13";0;1;"Được một lúc rồi đấy";"duoc mot luc roi day"
14;1;"";"How old are you?";"greeting_18";0;1;"Bạn bao nhiêu tuổi?";"ban bao nhieu tuoi?"
15;1;"";"I'm (30) years old";"greeting_19";0;1;"Tôi (Ba mươi) tuổi";"toi (ba muoi) tuoi"
16;2;"";"Yes";"general_1";0;1;"Có";"co"
17;2;"";"No";"general_2";0;1;"Không";"khong"
18;2;"";"Thank you";"general_6";0;1;"Cảm ơn";"cam on"
19;2;"";"You're welcome";"general_18";0;1;"Không có gì";"khong co gi"
20;2;"";"Please...";"general_7";0;1;"Làm ơn…";"lam on…"
21;2;"";"Do you understand?";"general_3";0;1;"Bạn có hiểu không";"ban co hieu khong"
22;2;"";"I don't understand";"general_4";0;1;"Tôi không hiểu";"toi khong hieu"
23;2;"";"I understand";"general_5";0;1;"Tôi hiểu";"toi hieu"
24;2;"";"I don't know";"general_15";0;1;"Tôi không biết";"toi khong biet"
25;2;"";"I like it";"general_17";0;1;"Tôi thích nó";"toi thich no"
26;2;"";"I don't like it";"general_16";0;1;"Tôi không thích nó";"toi khong thich no"
27;2;"";"I understand that...";"general_19";0;1;"Tôi hiểu là…";"toi hieu la…"
28;2;"";"I think that...";"general_20";0;1;"Tôi nghĩ là …";"toi nghi la …"
29;2;"";"I would like / I want..";"general_21";0;1;"Tôi muốn …";"toi muon …"
30;2;"";"No, thank you";"general_11";0;1;"Không, cảm ơn";"khong, cam on"
31;2;"";"I'm sorry (Apologize)";"general_8";0;1;"Tôi xin lỗi";"toi xin loi"
32;2;"";"I'm sorry (Sympathy)";"general_13";0;1;"Tôi lấy làm tiếc";"toi lay lam tiec"
33;2;"";"Could you help me?";"general_100";0;1;"Bạn có thể giúp tôi được không?";"ban co the giup toi duoc khong?"
34;2;"";"Please say that again";"general_9";0;1;"Làm ơn nói lại lần nữa";"lam on noi lai lan nua"
35;2;"";"Can you speak slowly?";"general_10";0;1;"Bạn có thể nói chậm hơn không?";"ban co the noi cham hon khong?"
36;2;"";"What does this mean?";"general_25";0;1;"Nó nghĩa là gì?";"no nghia la gi?"
37;2;"";"How do you pronounce this?";"general_26";0;1;"Bạn đánh vần nó như thế nào";"ban danh van no nhu the nao"
38;2;"";"That's right";"general_29";0;1;"Đúng rồi";"dung roi"
39;2;"";"No, that's wrong";"general_28";0;1;"Không, vậy là sai rồi";"khong, vay la sai roi"
40;2;"";"It's alright (I'm ok)";"general_14";0;1;"Không sao đâu (Tôi ổn)";"khong sao dau (toi on)"
41;2;"";"I like..";"general_22";0;1;"Tôi thích …";"toi thich …"
42;2;"";"Excuse me";"general_48";0;1;"Xin lỗi";"xin loi"
43;2;"";"What's this?";"general_45";0;1;"Đây là cái gì?";"day la cai gi?"
44;2;"";"Congratulations!";"general_12";0;1;"Xin chúc mừng";"xin chuc mung"
45;2;"";"Just kidding!";"general_63";0;1;"Chỉ đùa thôi!";"chi dua thoi!"
46;2;"";"No problem";"general_30";0;1;"Không có gì";"khong co gi"
47;2;"";"Help!";"general_31";0;1;"Cứu!";"cuu!"
48;2;"";"Are you sure?";"general_24";0;1;"Bạn có chắc không";"ban co chac khong"
49;2;"";"Don't forget...";"general_47";0;1;"Đừng quên";"dung quen"
50;2;"";"Take care of yourself";"general_49";0;1;"Giữ gìn sức khỏe";"giu gin suc khoe"
51;2;"";"Before";"general_50";0;1;"Trước khi";"truoc khi"
52;2;"";"After";"general_52";0;1;"Sau khi";"sau khi"
53;2;"";"Until ";"general_54";0;1;"cho đến..";"cho den.."
54;2;"";"I love it here";"general_59";0;1;"Tôi yêu nơi này";"toi yeu noi nay"
55;2;"";"I'm here on holiday";"general_60";0;1;"Tôi ở đây trong ngày nghỉ";"toi o day trong ngay nghi"
56;2;"";"on business";"general_61";0;1;"trong công tác";"trong cong tac"
57;2;"";"to study";"general_62";0;1;"học";"hoc"
58;2;"";"What?";"general_33";0;1;"Cái gì?";"cai gi?"
59;2;"";"Where?";"general_39";0;1;"Ở đâu?";"o dau?"
60;2;"";"Who?";"general_32";0;1;"Ai?";"ai?"
61;2;"";"When?";"general_40";0;1;"Khi nào?";"khi nao?"
62;2;"";"Why?";"general_36";0;1;"Tại sao?";"tai sao?"
63;2;"";"Why not?";"general_37";0;1;"Tại sao không?";"tai sao khong?"
